vram,name,notes
0x8003B7A0,__osExceptionPreamble,Hardware exception vector entry detected from the ROM jump pattern
0x8003B7B0,__osException,Hardware exception handler targeted by __osExceptionPreamble
0x8003BD2C,send_mesg,Exception message helper matched to libreultra exceptasm
0x8003BE1C,__osEnqueueAndYield,Thread context-save helper matched to libreultra exceptasm
0x8003BF24,__osEnqueueThread,Thread queue helper matched to libreultra exceptasm
0x8003BF6C,__osPopThread,Thread queue pop helper matched to libreultra exceptasm
0x8003BF7C,__osDispatchThread,Thread context-restore helper matched to libreultra exceptasm
0x8003C110,__osDisableInt,Interrupt-disable helper matched to the ROM and reimplemented by N64ModernRuntime
0x8003C180,__osRestoreInt,Interrupt-restore helper matched to libreultra and reimplemented by N64ModernRuntime
0x8003C1A0,osSetIntMask,CPU and RCP interrupt-mask setter matched to libreultra and reimplemented by N64ModernRuntime
0x8003C240,__osSetGlobalIntMask,Global interrupt-mask updater matched to libreultra
0x8003C280,__osResetGlobalIntMask,Global interrupt-mask clearer matched to libreultra
0x80040D50,__osGetCause,COP0 Cause accessor matched to libreultra
0x80040D60,osGetCount,COP0 Count accessor matched to libreultra and reimplemented by N64ModernRuntime
0x80040D70,__osGetSR,COP0 Status accessor matched to libreultra
0x80040D80,__osSetCompare,COP0 Compare accessor matched to libreultra
0x80040D90,__osSetFpcCsr,FPU control/status accessor matched to libreultra and reimplemented by N64ModernRuntime
0x80040DA0,__osSetSR,COP0 Status setter matched to libreultra
0x80040DB0,osSpTaskLoad,RSP task loader matched to its task copy and IMEM DMA sequence
0x80040FBC,osSpTaskStartGo,RSP task start matched to its busy wait and SP status command
0x80040FF0,osSpTaskYield,RSP yield request matched to SP_SET_YIELD
0x80041010,osSpTaskYielded,RSP yielded-state query matched to SP status and task flag handling
0x80034010,osVirtualToPhysical,Public virtual-address wrapper matched to libreultra and reimplemented by N64ModernRuntime
0x800412D0,osMapTLBRdb,Reserved-debug TLB mapper matched to libreultra
0x80041330,osUnmapTLBAll,Full TLB reset helper matched to libreultra and stubbed by N64ModernRuntime
0x800313F0,osCreatePiManager,PI manager setup matched to libreultra and replaced by ModernRuntime direct DMA
0x80031580,osEPiRawStartDma,Extended PI DMA entry matched to its five-argument hardware setup path
0x80031770,__osDevMgrMain,PI device-manager worker intentionally suppressed with host-managed direct DMA
0x80031C20,osPiStartDma,Seven-argument PI DMA queue API matched to libreultra and reimplemented by N64ModernRuntime
0x80031CD0,osAiGetLength,AI DMA byte-count accessor matched to AI_LEN_REG and reimplemented by N64ModernRuntime
0x80031CE0,osAiSetFrequency,AI DAC and bit-rate setup matched to libreultra and reimplemented by N64ModernRuntime
0x80031E00,osAiSetNextBuffer,AI buffer submission matched to libreultra and reimplemented by N64ModernRuntime
0x80033A80,osContStartQuery,Controller status-query kickoff matched to libreultra SI command sequencing
0x80033B00,osContGetQuery,Controller status unpacker matched to its __osContGetInitData wrapper
0x80033B20,osContStartReadData,Controller read kickoff matched by its SI access and last-command sequence
0x80033BA8,osContGetReadData,Controller data unpacker matched by its OSContPad six-byte output stride
0x80033D00,osContInit,Controller initialization matched by its timed SI query sequence and reimplemented by N64ModernRuntime
0x800363F0,osCreateMesgQueue,Message-queue initializer matched to libreultra and reimplemented by N64ModernRuntime
0x80036420,osSendMesg,Blocking send path matched by its full-queue wait and reimplemented by N64ModernRuntime
0x80036560,osRecvMesg,Blocking receive path matched by its empty-queue wait and reimplemented by N64ModernRuntime
0x80036690,osJamMesg,Front-of-queue send path matched to libreultra and reimplemented by N64ModernRuntime
0x800367C0,osSetEventMesg,Event routing setter matched to libreultra and reimplemented by N64ModernRuntime
0x800374F0,osGetThreadPri,Thread priority query matched to libreultra and reimplemented by N64ModernRuntime
0x80037510,osSetThreadPri,Thread priority and run-queue update path matched to libreultra
0x80037740,osYieldThread,Current-thread yield path matched to libreultra
0x80037820,osSetTimer,Timer insertion API matched to libreultra and reimplemented by N64ModernRuntime
